,,0,1
avg_rtt,count,45250.0,15082.0
avg_rtt,mean,13.829726187845306,160.45340670998544
avg_rtt,std,42.73266702702798,147.256619739451
avg_rtt,min,2.04,1.98
avg_rtt,25%,4.26,16.122500000000002
avg_rtt,50%,7.23,154.27
avg_rtt,75%,10.58,249.7
avg_rtt,max,665.61,834.41
max_rtt,count,45250.0,15082.0
max_rtt,mean,33.239563093922655,430.92588980241345
max_rtt,std,106.71404725640322,346.5589433872524
max_rtt,min,2.44,2.81
max_rtt,25%,12.6,29.9
max_rtt,50%,15.5,352.0
max_rtt,75%,21.2,775.69
max_rtt,max,998.79,999.94
std_rtt,count,45250.0,15082.0
std_rtt,mean,10.64950453038674,124.53654754011404
std_rtt,std,37.55902977630309,127.19373246302209
std_rtt,min,0.13,0.0
std_rtt,25%,2.86,8.32
std_rtt,50%,4.96,58.735
std_rtt,75%,6.11,241.025
std_rtt,max,409.23,448.15
moving_avg,count,45250.0,15082.0
moving_avg,mean,13.829726187845306,160.45340670998544
moving_avg,std,42.73266702702798,147.256619739451
moving_avg,min,2.04,1.98
moving_avg,25%,4.26,16.122500000000002
moving_avg,50%,7.23,154.27
moving_avg,75%,10.58,249.7
moving_avg,max,665.61,834.41
rtt_change_rate,count,45250.0,15082.0
rtt_change_rate,mean,94.60935248618784,1511.0325255271182
rtt_change_rate,std,454.5179215798098,42124.01413927815
rtt_change_rate,min,0.0,0.0
rtt_change_rate,25%,12.8,9.03
rtt_change_rate,50%,35.97,25.515
rtt_change_rate,75%,80.36,71.0875
rtt_change_rate,max,85657.58,3007195.75
