avg_rtt,max_rtt,std_rtt,moving_avg,rtt_change_rate,is_anomaly
5.62,5.62,0.0,5.62,0.0,1
5.02,5.62,0.6,5.02,21.53,1
4.79,5.62,0.59,4.79,1.36,1
4.7,5.62,0.53,4.7,2.07,1
4.92,5.79,0.64,4.92,30.41,1
4.85,5.79,0.61,4.85,22.45,1
4.75,5.79,0.62,4.75,7.8,1
4.77,5.79,0.58,4.77,18.12,1
74.78,634.85,198.02,74.78,12882.61,1
67.82,634.85,189.01,67.82,99.18,1
67.67,634.85,189.06,67.67,20.31,1
67.71,634.85,189.05,67.71,14.66,1
67.75,634.85,189.03,67.75,0.0,1
126.32,634.85,243.29,126.32,12271.2,1
126.24,634.85,243.32,126.24,99.15,1
126.25,634.85,243.32,126.25,9.18,1
126.5,634.85,243.2,126.5,46.37,1
126.5,634.85,243.2,126.5,26.58,1
63.44,590.11,175.56,63.44,11.86,1
126.73,638.03,243.91,126.73,14703.46,1
126.74,638.03,243.9,126.74,99.33,1
126.76,638.03,243.89,126.76,16.16,1
212.92,866.42,324.47,212.92,17368.17,1
154.35,866.42,303.27,154.35,99.49,1
154.3,866.42,303.29,154.3,1.35,1
154.42,866.42,303.24,154.42,26.73,1
154.27,866.42,303.31,154.27,8.08,1
154.29,866.42,303.3,154.29,2.68,1
154.32,866.42,303.28,154.32,9.43,1
164.62,866.42,320.78,164.62,15974.83,1
164.65,866.42,320.77,164.65,99.38,1
164.62,866.42,320.79,164.62,0.66,1
78.51,741.05,220.85,78.51,16.52,1
165.01,869.38,321.39,165.01,16119.76,1
165.09,869.38,321.35,165.09,99.39,1
164.99,869.38,321.4,164.99,11.7,1
165.03,869.38,321.38,165.03,20.94,1
165.01,869.38,321.38,165.01,12.9,1
165.07,869.38,321.36,165.07,4.67,1
91.49,869.38,259.3,91.49,1.16,1
91.51,869.38,259.29,91.51,7.28,1
91.5,869.38,259.29,91.5,8.06,1
91.5,869.38,259.29,91.5,21.57,1
5.02,5.66,0.38,5.02,16.45,1
5.05,5.66,0.42,5.05,25.0,1
5.03,5.66,0.45,5.03,21.59,1
4.98,5.65,0.4,4.98,18.06,1
5.08,5.85,0.48,5.08,11.85,1
79.16,745.96,222.27,79.16,12651.43,1
153.43,747.91,296.76,153.43,0.26,1
153.42,747.91,296.76,153.42,99.36,1
153.45,747.91,296.74,153.45,0.42,1
153.36,747.91,296.79,153.36,6.49,1
235.49,825.84,352.63,235.49,18375.07,1
235.38,825.84,352.7,235.38,99.44,1
235.47,825.84,352.64,235.47,13.85,1
235.45,825.84,352.65,235.45,3.04,1
235.42,825.84,352.67,235.42,8.24,1
161.27,825.84,313.29,161.27,19.75,1
86.95,825.84,246.3,86.95,6.09,1
87.01,825.84,246.28,87.01,14.68,1
87.03,825.84,246.27,87.03,7.05,1
87.06,825.84,246.26,87.06,4.99,1
4.96,5.52,0.34,4.96,1.68,1
4.91,5.52,0.41,4.91,14.67,1
85.42,810.35,241.64,85.42,19521.14,1
85.36,810.35,241.66,85.36,99.44,1
85.3,810.35,241.68,85.3,9.33,1
85.32,810.35,241.68,85.32,6.1,1
85.29,810.35,241.69,85.29,5.19,1
85.23,810.35,241.71,85.23,9.82,1
85.21,810.35,241.71,85.21,0.21,1
85.19,810.35,241.72,85.19,5.6,1
85.3,810.35,241.68,85.3,29.89,1
85.54,810.35,241.6,85.54,11.17,1
5.07,6.57,0.69,5.07,14.31,1
5.07,6.57,0.68,5.07,19.89,1
5.07,6.57,0.68,5.07,9.09,1
5.1,6.57,0.67,5.1,0.41,1
102.76,981.03,292.76,102.76,19920.98,1
182.59,981.03,356.95,182.59,18.14,1
182.58,981.03,356.96,182.58,99.41,1
