avg_rtt,max_rtt,std_rtt,moving_avg,rtt_change_rate,is_anomaly
0.47,0.47,0.0,0.47,0.0,0
0.46,0.47,0.01,0.46,4.43,0
0.82,1.53,0.51,0.82,242.6,0
1.16,2.17,0.73,1.16,41.5,0
1.17,2.17,0.66,1.17,43.27,0
1.15,2.17,0.6,1.15,16.59,0
1.12,2.17,0.56,1.12,9.26,0
1.08,2.17,0.54,1.08,13.53,0
1.14,2.17,0.54,1.14,108.08,0
1.23,2.17,0.58,1.23,20.65,0
1.26,2.17,0.55,1.26,64.3,0
1.34,2.17,0.47,1.34,78.44,0
1.24,2.17,0.52,1.24,56.37,0
1.14,2.02,0.42,1.14,98.85,0
1.2,2.02,0.47,1.2,60.5,0
1.23,2.02,0.46,1.23,22.95,0
1.28,2.02,0.46,1.28,0.03,0
1.4,2.04,0.48,1.4,47.72,0
1.42,2.04,0.5,1.42,6.55,0
1.31,2.04,0.48,1.31,55.31,0
1.3,2.04,0.49,1.3,26.49,0
1.24,2.04,0.52,1.24,9.35,0
1.24,2.04,0.51,1.24,6.15,0
1.23,2.04,0.52,1.23,55.48,0
1.14,2.04,0.49,1.14,16.89,0
1.07,2.04,0.5,1.07,13.04,0
1.03,2.04,0.49,1.03,39.49,0
0.99,1.91,0.42,0.99,64.25,0
0.86,1.66,0.3,0.86,67.29,0
0.98,2.12,0.48,0.98,290.15,0
0.99,2.12,0.48,0.99,65.28,0
1.07,2.12,0.49,1.07,100.88,0
1.16,2.12,0.48,1.16,0.95,0
1.11,2.12,0.52,1.11,67.79,0
1.14,2.12,0.51,1.14,151.39,0
1.24,2.12,0.51,1.24,39.19,0
1.2,2.12,0.54,1.2,64.16,0
1.16,2.12,0.52,1.16,111.65,0
1.16,2.12,0.53,1.16,58.71,0
1.08,1.68,0.43,1.08,150.61,0
1.06,1.68,0.45,1.06,61.73,0
1.05,1.68,0.44,1.05,175.56,0
0.96,1.68,0.43,0.96,58.58,0
0.98,1.68,0.41,0.98,33.47,0
0.93,1.68,0.41,0.93,7.82,0
0.85,1.39,0.33,0.85,12.19,0
